,Sample,species,site,type,lat,illumina_run,otu_diversity,C1.I,B1.I,C1.II,C1.III,D1a,B1.II,G3,A4a,B.BG,C3
s55de,s55de,ssid,Dangriga 3,3-High,2-Dangriga,2,4,2824,1,0,51,2,0,0,0,0,0
s56de,s56de,ssid,Dangriga 3,3-High,2-Dangriga,2,4,547,48,1,12,0,0,0,0,0,0
s57de,s57de,ssid,Dangriga 3,3-High,2-Dangriga,2,3,2207,0,0,44,1,0,0,0,0,0
s581be,s581be,ssid,Belize City 3,3-High,1-Belize City,2,3,67,0,0,483,1,0,0,0,0,0
s582be,s582be,ssid,Belize City 3,3-High,1-Belize City,2,3,1557,1,0,116,0,0,0,0,0,0
s583be,s583be,ssid,Belize City 3,3-High,1-Belize City,2,2,572,0,0,13,0,0,0,0,0,0
s584be,s584be,ssid,Belize City 3,3-High,1-Belize City,2,4,595,0,1,10,1,0,0,0,0,0
s585be,s585be,ssid,Belize City 3,3-High,1-Belize City,2,4,1408,3,0,46,2,0,0,0,0,0
s586be,s586be,ssid,Belize City 3,3-High,1-Belize City,2,5,313,2,5,9,524,0,0,0,0,0
s587be,s587be,ssid,Belize City 3,3-High,1-Belize City,2,6,2099,7,6,38,42,2,0,0,0,0
s588be,s588be,ssid,Belize City 3,3-High,1-Belize City,2,4,2188,1,0,944,1,0,0,0,0,0
s589be,s589be,ssid,Belize City 3,3-High,1-Belize City,2,4,21,1,0,4129,1,0,0,0,0,0
s58de,s58de,ssid,Dangriga-3,3-High,2-Dangriga,2,4,689,0,0,23,1,0,1,0,0,0
s590be,s590be,ssid,Belize City 3,3-High,1-Belize City,2,3,1632,0,0,36,2,0,0,0,0,0
s59de,s59de,ssid,Dandgriga-3,3-High,2-Dangriga,2,3,3940,0,2,78,0,0,0,0,0,0
s601bl,s601bl,ssid,Belize City 1,1-Low,1-Belize City,2,6,376,10,12,32,424,7,0,0,0,0
s602bl,s602bl,ssid,Belize City 1,1-Low,1-Belize City,2,5,2354,3,2,36,6,0,0,0,0,0
s603bl,s603bl,ssid,Belize City 1,1-Low,1-Belize City,2,3,1974,3,0,37,0,0,0,0,0,0
s604bl,s604bl,ssid,Belize City 1,1-Low,1-Belize City,2,3,3226,0,3,49,0,0,0,0,0,0
s605bl,s605bl,ssid,Belize City 1,1-Low,1-Belize City,2,5,1947,2,4,34,2,0,0,0,0,0
s606bl,s606bl,ssid,Belize City 1,1-Low,1-Belize City,2,5,954,4,4,290,8,0,0,0,0,0
s607bl,s607bl,ssid,Belize City 1,1-Low,1-Belize City,2,2,198,0,0,3,0,0,0,0,0,0
s608bl,s608bl,ssid,Belize City 1,1-Low,1-Belize City,2,5,1927,9,5,53,11,0,0,0,0,0
s609bl,s609bl,ssid,Belize City 1,1-Low,1-Belize City,2,5,1349,25,34,35,116,0,0,0,0,0
s60de,s60de,ssid,Dangriga 3,3-High,2-Dangriga,2,6,1272,9,3,18,17,1,0,0,0,0
s610bl,s610bl,ssid,Belize City 1,1-Low,1-Belize City,2,1,19,0,0,0,0,0,0,0,0,0
